username,repo_name,stars,repo_url
JimBobSquarePants,ImageProcessor,2500,https://github.com/topics/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2500,https://github.com/topics/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2300,https://github.com/topics/dotnet/aspnet-api-versioning
serenity-is,Serenity,2200,https://github.com/topics/serenity-is/Serenity
loic-sharma,BaGet,2000,https://github.com/topics/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1800,https://github.com/topics/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/topics/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/topics/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,https://github.com/topics/MarimerLLC/csla
riganti,dotvvm,605,https://github.com/topics/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,607,https://github.com/topics/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,595,https://github.com/topics/antonioCoco/SharPyShell
json-api-dotnet,JsonApiDotNetCore,557,https://github.com/topics/json-api-dotnet/JsonApiDotNetCore
chsakell,mvcarchitecture,458,https://github.com/topics/chsakell/mvcarchitecture
brthor,Gofer.NET,443,https://github.com/topics/brthor/Gofer.NET
YAFNET,YAFNET,430,https://github.com/topics/YAFNET/YAFNET
Maarten88,rrod,377,https://github.com/topics/Maarten88/rrod
SapphireDb,SapphireDb,379,https://github.com/topics/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,366,https://github.com/topics/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,354,https://github.com/topics/chsakell/aspnet-core-identity
smartstore,Smartstore,329,https://github.com/topics/smartstore/Smartstore
EEParker,aspnetcore-vueclimiddleware,328,https://github.com/topics/EEParker/aspnetcore-vueclimiddleware
atom,atom,57600,https://github.com/topics/atom/atom
themerdev,themer,4700,https://github.com/topics/themerdev/themer
nteract,hydrogen,3800,https://github.com/topics/nteract/hydrogen
miniflux,v2,3700,https://github.com/topics/miniflux/v2
